,param_metric,param_n_neighbors,param_weights,params,mean_test_score,std_test_score,rank_test_score
180,euclidean,245,uniform,"{'metric': 'euclidean', 'n_neighbors': 245, 'weights': 'uniform'}",0.9681908478473666,0.001242995010226851,272
181,euclidean,245,distance,"{'metric': 'euclidean', 'n_neighbors': 245, 'weights': 'distance'}",0.9752834129672623,0.0009381045666307555,173
182,euclidean,251,uniform,"{'metric': 'euclidean', 'n_neighbors': 251, 'weights': 'uniform'}",0.9679577823400299,0.0011634861238161004,275
183,euclidean,251,distance,"{'metric': 'euclidean', 'n_neighbors': 251, 'weights': 'distance'}",0.9750497956674152,0.0008430311849975849,178
184,euclidean,257,uniform,"{'metric': 'euclidean', 'n_neighbors': 257, 'weights': 'uniform'}",0.9677273141801562,0.0011224682988916477,278
185,euclidean,257,distance,"{'metric': 'euclidean', 'n_neighbors': 257, 'weights': 'distance'}",0.9749849260270563,0.000936937748203824,180
186,euclidean,263,uniform,"{'metric': 'euclidean', 'n_neighbors': 263, 'weights': 'uniform'}",0.9674622317701118,0.0012316310586972337,280
187,euclidean,263,distance,"{'metric': 'euclidean', 'n_neighbors': 263, 'weights': 'distance'}",0.9748184212143567,0.0008568407598973026,182
188,euclidean,269,uniform,"{'metric': 'euclidean', 'n_neighbors': 269, 'weights': 'uniform'}",0.9671335110228124,0.0013143293862908944,284
189,euclidean,269,distance,"{'metric': 'euclidean', 'n_neighbors': 269, 'weights': 'distance'}",0.9745149067018348,0.0009306040598828243,189
190,euclidean,275,uniform,"{'metric': 'euclidean', 'n_neighbors': 275, 'weights': 'uniform'}",0.9669034942960524,0.0012346646601598932,287
191,euclidean,275,distance,"{'metric': 'euclidean', 'n_neighbors': 275, 'weights': 'distance'}",0.9743136252740001,0.0010507018295546635,194
192,euclidean,281,uniform,"{'metric': 'euclidean', 'n_neighbors': 281, 'weights': 'uniform'}",0.9668115827913016,0.0012288309387386536,289
193,euclidean,281,distance,"{'metric': 'euclidean', 'n_neighbors': 281, 'weights': 'distance'}",0.9742820148765923,0.0011277812597422594,196
